TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.2; LAMBDA_2=0.2; LAMBDA_3=0.2
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8695299837925445;0.8824013157894737;0.8759183673469388;1073;1216;1234
1;0.8897893030794165;0.8876313662085691;0.8887090246863617;1098;1237;1234
2;0.8914100486223663;0.8885298869143781;0.8899676375404532;1100;1238;1234
3;0.8914100486223663;0.8885298869143781;0.8899676375404532;1100;1238;1234
4;0.8889789303079416;0.8868229587712207;0.88789963577499;1097;1237;1234
5;0.8905996758508914;0.8870056497175142;0.8887990295188031;1099;1239;1234
6;0.8881685575364667;0.8838709677419355;0.8860145513338723;1096;1240;1234
7;0.8881685575364667;0.8831587429492345;0.8856565656565657;1096;1241;1234
8;0.8914100486223663;0.8849557522123894;0.8881711748082359;1100;1243;1234
9;0.8938411669367909;0.8866559485530546;0.890234059725585;1103;1244;1234
10;0.8914100486223663;0.8835341365461847;0.8874546187979023;1100;1245;1234
11;0.8897893030794165;0.8840579710144928;0.8869143780290791;1098;1242;1234
12;0.8905996758508914;0.8862903225806451;0.8884397736459174;1099;1240;1234
13;0.8905996758508914;0.8862903225806451;0.8884397736459174;1099;1240;1234
14;0.8905996758508914;0.8862903225806451;0.8884397736459174;1099;1240;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8881685575364667;0.8740031897926634;0.8810289389067524;1096;1254;1234
